indicator_code,filename,mode,sample_index,rows,cols,window_cells,elapsed_ns
rkmd,rkmd.tif,masked_reread_same_handle,3,1024,1024,1048576,3659276
rkmd,rkmd.tif,mask_read,4,1024,1024,1048576,73333686
rkmd,rkmd.tif,data_plus_mask,4,1024,1024,1048576,62005437
rkmd,rkmd.tif,open_only,4,1024,1024,1048576,4289798
rkmd,rkmd.tif,masked_read_new_handle,4,1024,1024,1048576,66641731
rkmd,rkmd.tif,masked_reread_same_handle,4,1024,1024,1048576,3623207
rkmd,rkmd.tif,data_read,4,1024,1024,1048576,157376255
xxmd,xxmd.tif,open_only,0,1024,1024,1048576,2951923
xxmd,xxmd.tif,masked_read_new_handle,0,1024,1024,1048576,20451328
xxmd,xxmd.tif,masked_reread_same_handle,0,1024,1024,1048576,3331623
xxmd,xxmd.tif,data_read,0,1024,1024,1048576,89711794
xxmd,xxmd.tif,mask_read,0,1024,1024,1048576,94229077
xxmd,xxmd.tif,data_plus_mask,0,1024,1024,1048576,150910029
xxmd,xxmd.tif,masked_read_new_handle,1,1024,1024,1048576,108770922
xxmd,xxmd.tif,masked_reread_same_handle,1,1024,1024,1048576,3574293
xxmd,xxmd.tif,data_read,1,1024,1024,1048576,208475354
xxmd,xxmd.tif,mask_read,1,1024,1024,1048576,172803217
xxmd,xxmd.tif,data_plus_mask,1,1024,1024,1048576,183468771
xxmd,xxmd.tif,open_only,1,1024,1024,1048576,13096249
xxmd,xxmd.tif,masked_reread_same_handle,2,1024,1024,1048576,3473560
xxmd,xxmd.tif,data_read,2,1024,1024,1048576,80159500
xxmd,xxmd.tif,mask_read,2,1024,1024,1048576,77563396
xxmd,xxmd.tif,data_plus_mask,2,1024,1024,1048576,25313081
xxmd,xxmd.tif,open_only,2,1024,1024,1048576,5651630
xxmd,xxmd.tif,masked_read_new_handle,2,1024,1024,1048576,40393601
xxmd,xxmd.tif,data_read,3,1024,1024,1048576,164452452
xxmd,xxmd.tif,mask_read,3,1024,1024,1048576,60580566
xxmd,xxmd.tif,data_plus_mask,3,1024,1024,1048576,66961690
xxmd,xxmd.tif,open_only,3,1024,1024,1048576,14806882
xxmd,xxmd.tif,masked_read_new_handle,3,1024,1024,1048576,68537046
xxmd,xxmd.tif,masked_reread_same_handle,3,1024,1024,1048576,3228585
xxmd,xxmd.tif,mask_read,4,1024,1024,1048576,45796673
xxmd,xxmd.tif,data_plus_mask,4,1024,1024,1048576,21377307
xxmd,xxmd.tif,open_only,4,1024,1024,1048576,4238604
xxmd,xxmd.tif,masked_read_new_handle,4,1024,1024,1048576,117294324
xxmd,xxmd.tif,masked_reread_same_handle,4,1024,1024,1048576,5531445
xxmd,xxmd.tif,data_read,4,1024,1024,1048576,44952295
jmdmd,jmdmd.tif,open_only,0,1024,1024,1048576,2081645
jmdmd,jmdmd.tif,masked_read_new_handle,0,1024,1024,1048576,14808791
jmdmd,jmdmd.tif,masked_reread_same_handle,0,1024,1024,1048576,3515432
jmdmd,jmdmd.tif,data_read,0,1024,1024,1048576,11667028
jmdmd,jmdmd.tif,mask_read,0,1024,1024,1048576,10969290
jmdmd,jmdmd.tif,data_plus_mask,0,1024,1024,1048576,11494247
jmdmd,jmdmd.tif,masked_read_new_handle,1,1024,1024,1048576,58892295
jmdmd,jmdmd.tif,masked_reread_same_handle,1,1024,1024,1048576,4527228
jmdmd,jmdmd.tif,data_read,1,1024,1024,1048576,26930780
jmdmd,jmdmd.tif,mask_read,1,1024,1024,1048576,15138507
jmdmd,jmdmd.tif,data_plus_mask,1,1024,1024,1048576,14847091
jmdmd,jmdmd.tif,open_only,1,1024,1024,1048576,1949032
jmdmd,jmdmd.tif,masked_reread_same_handle,2,1024,1024,1048576,3391033
jmdmd,jmdmd.tif,data_read,2,1024,1024,1048576,12423983
jmdmd,jmdmd.tif,mask_read,2,1024,1024,1048576,12557636
jmdmd,jmdmd.tif,data_plus_mask,2,1024,1024,1048576,12531184
jmdmd,jmdmd.tif,open_only,2,1024,1024,1048576,1990557
jmdmd,jmdmd.tif,masked_read_new_handle,2,1024,1024,1048576,20614501
jmdmd,jmdmd.tif,data_read,3,1024,1024,1048576,16685974
jmdmd,jmdmd.tif,mask_read,3,1024,1024,1048576,12688308
jmdmd,jmdmd.tif,data_plus_mask,3,1024,1024,1048576,13307523
jmdmd,jmdmd.tif,open_only,3,1024,1024,1048576,2866065
jmdmd,jmdmd.tif,masked_read_new_handle,3,1024,1024,1048576,14580575
jmdmd,jmdmd.tif,masked_reread_same_handle,3,1024,1024,1048576,3260142
jmdmd,jmdmd.tif,mask_read,4,1024,1024,1048576,16231720
jmdmd,jmdmd.tif,data_plus_mask,4,1024,1024,1048576,73029134
jmdmd,jmdmd.tif,open_only,4,1024,1024,1048576,2973917
jmdmd,jmdmd.tif,masked_read_new_handle,4,1024,1024,1048576,20259052
jmdmd,jmdmd.tif,masked_reread_same_handle,4,1024,1024,1048576,3264544
jmdmd,jmdmd.tif,data_read,4,1024,1024,1048576,14285329
xspb,xspb.tif,open_only,0,1024,1024,1048576,6328102
xspb,xspb.tif,masked_read_new_handle,0,1024,1024,1048576,28884251
xspb,xspb.tif,masked_reread_same_handle,0,1024,1024,1048576,3182252
xspb,xspb.tif,data_read,0,1024,1024,1048576,12410964
xspb,xspb.tif,mask_read,0,1024,1024,1048576,10604993
xspb,xspb.tif,data_plus_mask,0,1024,1024,1048576,11566352
xspb,xspb.tif,masked_read_new_handle,1,1024,1024,1048576,16534666
xspb,xspb.tif,masked_reread_same_handle,1,1024,1024,1048576,4166413
xspb,xspb.tif,data_read,1,1024,1024,1048576,11808201
xspb,xspb.tif,mask_read,1,1024,1024,1048576,10584669
xspb,xspb.tif,data_plus_mask,1,1024,1024,1048576,11151097
xspb,xspb.tif,open_only,1,1024,1024,1048576,1956356
xspb,xspb.tif,masked_reread_same_handle,2,1024,1024,1048576,3168468
xspb,xspb.tif,data_read,2,1024,1024,1048576,11543295
xspb,xspb.tif,mask_read,2,1024,1024,1048576,10414439
xspb,xspb.tif,data_plus_mask,2,1024,1024,1048576,61656665
xspb,xspb.tif,open_only,2,1024,1024,1048576,16228984
xspb,xspb.tif,masked_read_new_handle,2,1024,1024,1048576,48499332
xspb,xspb.tif,data_read,3,1024,1024,1048576,53263724
xspb,xspb.tif,mask_read,3,1024,1024,1048576,53135517
xspb,xspb.tif,data_plus_mask,3,1024,1024,1048576,57612781
xspb,xspb.tif,open_only,3,1024,1024,1048576,14675952
xspb,xspb.tif,masked_read_new_handle,3,1024,1024,1048576,36269009
xspb,xspb.tif,masked_reread_same_handle,3,1024,1024,1048576,4507111
xspb,xspb.tif,mask_read,4,1024,1024,1048576,30564839
xspb,xspb.tif,data_plus_mask,4,1024,1024,1048576,14969152
xspb,xspb.tif,open_only,4,1024,1024,1048576,3457032
xspb,xspb.tif,masked_read_new_handle,4,1024,1024,1048576,16978142
xspb,xspb.tif,masked_reread_same_handle,4,1024,1024,1048576,3780272
xspb,xspb.tif,data_read,4,1024,1024,1048576,22807244
xsqs,xsqs.tif,open_only,0,1024,1024,1048576,3818193
xsqs,xsqs.tif,masked_read_new_handle,0,1024,1024,1048576,20261216
xsqs,xsqs.tif,masked_reread_same_handle,0,1024,1024,1048576,3605159
xsqs,xsqs.tif,data_read,0,1024,1024,1048576,28270654
xsqs,xsqs.tif,mask_read,0,1024,1024,1048576,12590892
