relationship,column_shift,mode,sample_index,order_index,sequence_elapsed_ns,indicator_code,filename,rows,cols,window_cells,valid_cells,elapsed_ns
same_window,0,reuse_same_process_handles,2,1,37085647,fmts,fmts.tif,1024,1024,1048576,741923,2666328
same_window,0,reuse_same_process_handles,3,0,29729731,PM25,PM25.tif,1024,1024,1048576,744513,2158435
same_window,0,reuse_same_process_handles,3,0,29729731,AQI,AQI.tif,1024,1024,1048576,745246,2447130
same_window,0,reuse_same_process_handles,3,0,29729731,NDVI,NDVI.tif,1024,1024,1048576,736505,2478227
same_window,0,reuse_same_process_handles,3,0,29729731,hwmd,hwmd.tif,1024,1024,1048576,741486,2349911
same_window,0,reuse_same_process_handles,3,0,29729731,rkmd,rkmd.tif,1024,1024,1048576,727265,2605948
same_window,0,reuse_same_process_handles,3,0,29729731,xxmd,xxmd.tif,1024,1024,1048576,741486,2588117
same_window,0,reuse_same_process_handles,3,0,29729731,jmdmd,jmdmd.tif,1024,1024,1048576,741486,2978581
same_window,0,reuse_same_process_handles,3,0,29729731,xspb,xspb.tif,1024,1024,1048576,741923,2644730
same_window,0,reuse_same_process_handles,3,0,29729731,xsqs,xsqs.tif,1024,1024,1048576,741923,2764507
same_window,0,reuse_same_process_handles,3,0,29729731,gyfb,gyfb.tif,1024,1024,1048576,741859,2205366
same_window,0,reuse_same_process_handles,3,0,29729731,fmyl,fmyl.tif,1024,1024,1048576,741923,2196228
same_window,0,reuse_same_process_handles,3,0,29729731,fmts,fmts.tif,1024,1024,1048576,741923,2281718
same_window,0,reopen_between_requests,3,1,807144919,PM25,PM25.tif,1024,1024,1048576,744513,150013015
same_window,0,reopen_between_requests,3,1,807144919,AQI,AQI.tif,1024,1024,1048576,745246,102760457
same_window,0,reopen_between_requests,3,1,807144919,NDVI,NDVI.tif,1024,1024,1048576,736505,93464342
same_window,0,reopen_between_requests,3,1,807144919,hwmd,hwmd.tif,1024,1024,1048576,741486,46677182
same_window,0,reopen_between_requests,3,1,807144919,rkmd,rkmd.tif,1024,1024,1048576,727265,89403137
same_window,0,reopen_between_requests,3,1,807144919,xxmd,xxmd.tif,1024,1024,1048576,741486,41447989
same_window,0,reopen_between_requests,3,1,807144919,jmdmd,jmdmd.tif,1024,1024,1048576,741486,28533122
same_window,0,reopen_between_requests,3,1,807144919,xspb,xspb.tif,1024,1024,1048576,741923,22754169
same_window,0,reopen_between_requests,3,1,807144919,xsqs,xsqs.tif,1024,1024,1048576,741923,22927928
same_window,0,reopen_between_requests,3,1,807144919,gyfb,gyfb.tif,1024,1024,1048576,741859,110043673
same_window,0,reopen_between_requests,3,1,807144919,fmyl,fmyl.tif,1024,1024,1048576,741923,53636509
same_window,0,reopen_between_requests,3,1,807144919,fmts,fmts.tif,1024,1024,1048576,741923,45445438
same_window,0,reopen_between_requests,4,0,920153070,PM25,PM25.tif,1024,1024,1048576,744513,31385628
same_window,0,reopen_between_requests,4,0,920153070,AQI,AQI.tif,1024,1024,1048576,745246,47396030
same_window,0,reopen_between_requests,4,0,920153070,NDVI,NDVI.tif,1024,1024,1048576,736505,181567814
same_window,0,reopen_between_requests,4,0,920153070,hwmd,hwmd.tif,1024,1024,1048576,741486,118497711
